# SHEtoken GPI Historical Trends 2015-2024
# Gender Poverty Index — 9 economic dimensions
# (c) 2026 SHE Foundation
#
iso_code,country,year,gpi_score,gpi_income_poverty,gpi_wealth,gpi_wage,gpi_labour_participation,gpi_financial_inclusion,gpi_food_security,gpi_time_poverty,gpi_land_ownership,gpi_social_protection,rank
ZAF,South Africa,2022,56.7,61.0,36.8,57.1,51.0,61.0,71.8,71.9,35.5,64.0,18
IDN,Indonesia,2022,55.8,57.0,38.8,71.1,51.0,51.0,74.2,68.6,35.5,55.0,19
KEN,Kenya,2022,50.2,54.0,30.8,57.1,63.0,51.0,59.2,64.1,31.6,41.0,20
MMR,Myanmar,2022,48.5,57.2,29.1,65.4,51.2,39.1,69.4,64.2,23.6,37.2,21
TZA,Tanzania,2022,43.4,44.2,19.1,61.4,85.2,35.1,49.4,53.1,19.6,23.2,22
IND,India,2022,42.2,47.0,30.8,63.1,26.9,44.0,59.2,46.4,27.6,35.0,23
BGD,Bangladesh,2022,42.1,51.2,25.1,59.4,35.2,45.1,56.9,53.1,19.6,33.2,24
NGA,Nigeria,2022,41.0,44.2,27.1,55.4,51.2,33.1,49.4,57.6,23.6,27.2,25
EGY,Egypt,2022,40.2,47.2,29.1,61.4,19.2,23.1,66.9,55.4,15.6,44.2,26
ETH,Ethiopia,2022,38.2,37.2,17.1,57.4,81.2,29.1,39.4,49.8,15.6,17.2,27
MLI,Mali,2022,29.2,31.7,9.7,45.8,71.8,17.9,29.8,38.8,7.8,9.8,28
PAK,Pakistan,2022,28.2,34.2,19.1,55.4,21.2,15.2,49.4,30.9,11.6,17.2,29
TCD,Chad,2022,25.6,29.7,9.7,43.8,63.8,9.9,24.8,33.2,7.8,7.8,30
NER,Niger,2022,22.1,24.7,7.7,43.8,43.8,9.9,19.8,33.2,7.8,7.8,31
YEM,Yemen,2022,18.7,31.7,9.7,41.8,9.8,3.9,29.8,27.7,7.8,5.8,32
SOM,Somalia,2022,16.9,27.7,7.7,41.8,21.8,3.9,19.8,22.1,3.9,3.8,33
AFG,Afghanistan,2022,16.6,27.7,9.7,37.8,17.8,1.9,29.8,16.6,3.9,3.8,34
SWE,Sweden,2023,91.1,97.7,78.6,86.7,82.8,97.8,97.3,92.1,89.8,96.8,1
ISL,Iceland,2023,90.7,97.7,77.6,87.7,83.8,96.8,97.3,91.0,87.8,96.8,2
NOR,Norway,2023,89.4,96.7,75.6,85.7,81.8,96.8,96.8,89.9,85.8,95.8,3
FIN,Finland,2023,88.1,95.7,73.6,83.7,79.8,96.8,95.8,87.7,83.8,95.8,4
DEU,Germany,2023,84.8,91.7,69.6,77.7,74.8,96.8,93.8,84.3,79.8,94.8,5
CAN,Canada,2023,84.7,89.7,67.6,75.7,77.8,96.8,94.8,86.6,79.8,93.8,6
AUS,Australia,2023,82.4,87.7,65.6,71.7,73.8,96.8,93.8,83.2,75.8,92.8,7
GBR,UK,2023,82.3,85.7,64.6,73.7,74.8,96.8,93.8,84.3,73.8,92.8,8
USA,USA,2023,80.0,81.7,61.6,73.7,73.8,92.8,92.3,82.1,71.8,89.8,9
JPN,Japan,2023,77.3,94.7,64.6,75.7,63.3,95.8,97.3,68.8,43.8,91.8,10
KOR,South Korea,2023,74.0,93.7,59.6,65.7,57.8,95.8,95.8,72.1,35.8,89.8,11
CHN,China,2023,73.3,71.3,57.2,77.4,71.3,76.0,89.5,79.8,55.7,81.3,12
THA,Thailand,2023,71.4,77.3,51.2,81.4,63.3,76.0,87.0,79.8,47.7,79.3,13
VNM,Vietnam,2023,66.4,69.3,44.2,79.4,71.3,56.0,84.5,77.6,43.7,71.3,14
PHL,Philippines,2023,66.3,77.3,47.2,77.4,61.3,60.0,83.5,75.4,51.7,63.3,15
BRA,Brazil,2023,65.0,67.3,47.2,67.4,57.3,73.0,82.0,75.4,43.7,71.3,16
MEX,Mexico,2023,58.0,61.3,43.2,62.4,45.8,62.0,79.5,60.9,39.7,67.3,17
ZAF,South Africa,2023,56.8,61.3,37.2,57.4,51.3,60.0,72.0,72.0,35.7,64.3,18
IDN,Indonesia,2023,55.9,57.3,39.2,71.4,51.3,50.0,74.5,68.7,35.7,55.3,19
KEN,Kenya,2023,50.3,54.3,31.2,57.4,63.3,50.0,59.5,64.2,31.7,41.3,20
MMR,Myanmar,2023,48.6,57.5,29.4,65.6,51.5,38.1,69.6,64.2,23.8,37.5,21
TZA,Tanzania,2023,43.5,44.5,19.4,61.6,85.5,34.1,49.6,53.1,19.8,23.5,22
IND,India,2023,43.0,47.3,31.2,63.4,27.3,49.0,59.5,46.5,27.7,35.3,23
BGD,Bangladesh,2023,42.2,51.5,25.4,59.6,35.5,44.1,57.1,53.1,19.8,33.5,24
NGA,Nigeria,2023,41.1,44.5,27.4,55.6,51.5,32.1,49.6,57.6,23.8,27.5,25
EGY,Egypt,2023,40.3,47.5,29.4,61.6,19.5,22.1,67.1,55.4,15.8,44.5,26
ETH,Ethiopia,2023,38.3,37.5,17.4,57.6,81.5,28.1,39.6,49.8,15.8,17.5,27
MLI,Mali,2023,29.1,31.8,9.8,45.8,71.8,16.6,29.8,38.8,7.9,9.8,28
PAK,Pakistan,2023,28.3,34.5,19.4,55.6,21.5,14.1,49.6,30.9,11.8,17.5,29
TCD,Chad,2023,25.5,29.8,9.8,43.8,63.8,8.6,24.8,33.2,7.9,7.8,30
NER,Niger,2023,21.9,24.8,7.8,43.8,43.8,8.6,19.8,33.2,7.9,7.8,31
YEM,Yemen,2023,18.6,31.8,9.8,41.8,9.8,2.6,29.8,27.7,7.9,5.8,32
SOM,Somalia,2023,16.8,27.8,7.8,41.8,21.8,2.6,19.8,22.1,3.9,3.8,33
AFG,Afghanistan,2023,16.4,27.8,9.8,37.8,17.8,0.6,29.8,16.6,3.9,3.8,34
SWE,Sweden,2024,91.4,97.8,78.8,86.8,82.9,99.9,97.4,92.2,89.9,96.9,1
ISL,Iceland,2024,91.0,97.8,77.8,87.8,83.9,98.9,97.4,91.0,87.9,96.9,2
NOR,Norway,2024,89.8,96.8,75.8,85.8,81.9,98.9,96.9,90.0,85.9,95.9,3
FIN,Finland,2024,88.4,95.8,73.8,83.8,79.9,98.9,95.9,87.8,83.9,95.9,4
DEU,Germany,2024,85.1,91.8,69.8,77.8,74.9,98.9,93.9,84.4,79.9,94.9,5
CAN,Canada,2024,85.1,89.8,67.8,75.8,77.9,98.9,94.9,86.7,79.9,93.9,6
AUS,Australia,2024,82.7,87.8,65.8,71.8,73.9,98.9,93.9,83.2,75.9,92.9,7
GBR,UK,2024,82.6,85.8,64.8,73.8,74.9,98.9,93.9,84.4,73.9,92.9,8
USA,USA,2024,80.3,81.8,61.8,73.8,73.9,94.9,92.4,82.2,71.9,89.9,9
JPN,Japan,2024,77.3,94.8,64.8,73.8,61.9,97.9,97.4,68.9,43.9,91.9,10
KOR,South Korea,2024,74.3,93.8,59.8,65.8,57.9,97.9,95.9,72.2,35.9,89.9,11
CHN,China,2024,73.8,71.7,57.6,77.7,71.7,78.5,89.8,79.9,55.9,81.7,12
THA,Thailand,2024,72.0,77.7,51.6,81.7,63.6,78.5,87.2,79.9,47.9,79.7,13
PHL,Philippines,2024,66.9,77.7,47.6,77.7,61.6,62.5,83.8,75.5,51.9,63.6,14
VNM,Vietnam,2024,66.9,69.7,44.6,79.7,71.7,58.5,84.8,77.7,43.9,71.7,15
BRA,Brazil,2024,65.5,67.7,47.6,67.7,57.6,75.5,82.2,75.5,43.9,71.7,16
MEX,Mexico,2024,59.1,61.6,43.6,64.7,49.1,64.5,79.8,61.0,39.9,67.7,17
ZAF,South Africa,2024,57.3,61.6,37.6,57.7,51.6,62.5,72.2,72.1,35.9,64.7,18
IDN,Indonesia,2024,56.5,57.6,39.6,71.7,51.6,52.5,74.8,68.8,35.9,55.6,19
KEN,Kenya,2024,50.8,54.6,31.6,57.7,63.6,52.5,59.8,64.3,31.9,41.6,20
MMR,Myanmar,2024,49.0,57.8,29.7,65.8,51.8,40.5,69.8,64.3,23.9,37.8,21
TZA,Tanzania,2024,43.9,44.8,19.7,61.8,85.8,36.5,49.8,53.2,19.9,23.8,22
IND,India,2024,43.2,47.6,31.6,63.7,27.6,48.5,59.8,46.6,27.9,35.6,23
BGD,Bangladesh,2024,42.6,51.8,25.7,59.8,35.8,46.5,57.3,53.2,19.9,33.8,24
NGA,Nigeria,2024,41.5,44.8,27.7,55.8,51.8,34.5,49.8,57.7,23.9,27.8,25
EGY,Egypt,2024,40.8,47.8,29.7,61.8,19.8,24.6,67.3,55.5,15.9,44.8,26
ETH,Ethiopia,2024,38.8,37.8,17.7,57.8,81.8,30.6,39.8,49.9,15.9,17.8,27
MLI,Mali,2024,29.5,31.9,9.9,45.9,71.9,18.8,29.9,38.9,8.0,9.9,28
PAK,Pakistan,2024,28.8,34.8,19.7,55.8,21.8,16.6,49.8,31.0,11.9,17.8,29
TCD,Chad,2024,25.8,29.9,9.9,43.9,63.9,10.8,24.9,33.3,8.0,7.9,30
NER,Niger,2024,22.3,24.9,7.9,43.9,43.9,10.8,19.9,33.3,8.0,7.9,31
YEM,Yemen,2024,18.9,31.9,9.9,41.9,9.9,4.8,29.9,27.8,8.0,5.9,32
SOM,Somalia,2024,17.2,27.9,7.9,41.9,21.9,4.8,19.9,22.2,4.0,3.9,33
AFG,Afghanistan,2024,16.8,27.9,9.9,37.9,17.9,2.8,29.9,16.7,4.0,3.9,34
