# SHEtoken WEI India State Historical Trends 2015-2024
# (c) 2026 SHE Foundation
#
state,state_code,ticker,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Himachal Pradesh,HP,SHE-HP,2024,54.0,58.4,85.8,49.8,79.8,49.8,49.9,49.8,49.5,50.0
Meghalaya,ML,SHE-ML,2024,53.6,60.4,81.8,51.8,75.8,49.8,49.9,49.8,49.5,50.0
Telangana,TS,SHE-TS,2024,53.4,62.4,77.8,51.8,75.8,49.8,49.9,49.8,49.5,50.0
Karnataka,KA,SHE-KA,2024,53.3,60.4,77.8,53.8,75.8,49.8,49.9,49.8,49.5,50.0
Delhi,DL,SHE-DL,2024,53.2,54.4,83.8,51.8,77.8,49.8,49.9,49.8,49.5,50.0
Andhra Pradesh,AP,SHE-AP,2024,52.9,60.4,75.8,53.8,73.8,49.8,49.9,49.8,49.5,50.0
Maharashtra,MH,SHE-MH,2024,52.7,56.4,79.8,53.8,73.8,49.8,49.9,49.8,49.5,50.0
Manipur,MN,SHE-MN,2024,52.3,56.4,79.8,51.8,71.8,49.8,49.9,49.8,49.5,50.0
Uttarakhand,UK,SHE-UK,2024,52.0,54.4,81.8,45.8,75.8,49.8,49.9,49.8,49.5,50.0
Gujarat,GJ,SHE-GJ,2024,51.9,52.4,77.8,53.8,73.8,49.8,49.9,49.8,49.5,50.0
Punjab,PB,SHE-PB,2024,51.1,50.4,77.8,47.8,75.8,49.8,49.9,49.8,49.5,50.0
West Bengal,WB,SHE-WB,2024,50.0,52.4,73.8,46.3,69.8,49.8,49.9,49.8,49.5,50.0
Odisha,OD,SHE-OD,2024,47.7,48.4,69.8,39.8,65.8,49.8,49.9,49.8,49.5,50.0
Haryana,HR,SHE-HR,2024,47.5,42.4,71.8,43.8,65.8,49.8,49.9,49.8,49.5,50.0
Chhattisgarh,CG,SHE-CG,2024,46.7,48.4,67.8,37.8,61.8,49.8,49.9,49.8,49.5,50.0
Assam,AS,SHE-AS,2024,46.4,44.4,69.8,37.8,61.8,49.8,49.9,49.8,49.5,50.0
Rajasthan,RJ,SHE-RJ,2024,46.1,46.4,62.8,37.8,63.8,49.8,49.9,49.8,49.5,50.0
Madhya Pradesh,MP,SHE-MP,2024,45.2,44.4,63.8,35.8,59.8,49.8,49.9,49.8,49.5,50.0
Jharkhand,JH,SHE-JH,2024,44.2,42.4,61.8,33.8,57.8,49.8,49.9,49.8,49.5,50.0
Bihar,BR,SHE-BR,2024,41.6,36.4,57.8,27.8,53.8,49.8,49.9,49.8,49.5,50.0
Uttar Pradesh,UP,SHE-UP,2024,41.3,34.4,57.8,27.8,53.8,49.8,49.9,49.8,49.5,50.0
