# SHEtoken SVI Historical Trends 2015-2024
# Sexual Violence Index — WHO prevalence based
# Key events: India 2013 law reform, MeToo 2017,
#   Japan consent law 2023, Afghanistan collapse 2021
# (c) 2026 SHE Foundation
#
iso_code,country,year,svi_score,rank,who_lifetime_prevalence_pct,reporting_gap_pct,legal_framework_score,support_services_score,impunity_score,marital_rape_criminalised,conflict_sv_risk_score
EGY,Egypt,2023,30.8,22,28.2,97.4,2.88,1.86,96.4,0,0
IRN,Iran,2023,30.0,23,24.3,99.8,1.84,0.8,99.8,0,0
NGA,Nigeria,2023,27.4,24,30.2,98.4,2.88,1.86,97.4,0,2
BGD,Bangladesh,2023,27.0,25,35.2,99.4,3.18,2.16,98.4,0,0
PAK,Pakistan,2023,25.0,26,32.2,99.4,1.88,0.86,98.4,0,1
IRQ,Iraq,2023,23.0,27,28.2,99.4,1.88,0.86,99.4,0,5
ETH,Ethiopia,2023,22.8,28,36.2,99.4,2.88,1.86,98.4,0,3
NER,Niger,2023,19.0,29,36.1,99.1,1.46,0.46,99.1,0,4
MMR,Myanmar,2023,19.0,30,30.2,99.4,1.88,0.86,99.4,0,8
AFG,Afghanistan,2023,16.6,31,40.1,100.1,0.96,0,100.1,0,3
PSE,Palestine,2023,15.8,32,34.3,98.8,1.84,0.8,98.8,0,9
YEM,Yemen,2023,13.9,33,32.1,100.1,0.96,0,100.1,0,10
SDN,Sudan,2023,12.1,34,36.2,99.4,0.88,0.86,102.4,0,11.0
SOM,Somalia,2023,8.3,35,46.1,100.1,0.96,0,100.1,0,8
CAF,CAR,2023,6.3,36,46.1,100.1,0.96,0,100.1,0,10
SSD,South Sudan,2023,5.2,37,48.1,100.1,0.96,0,100.1,0,10
COD,DRC,2023,3.8,38,52.1,99.1,0.96,0.96,99.1,0,10
NOR,Norway,2024,81.3,1,11.1,60.5,10.25,8.95,22.5,1,0
SWE,Sweden,2024,79.8,2,13.1,55.5,9.25,8.95,20.5,1,0
DNK,Denmark,2024,79.3,3,12.1,60.5,9.25,8.95,22.5,1,0
ISL,Iceland,2024,79.3,4,14.1,60.5,10.25,8.95,25.5,1,0
FIN,Finland,2024,77.7,5,11.1,65.5,9.25,7.95,28.5,1,0
DEU,Germany,2024,73.6,6,13.1,68.5,8.25,7.95,35.5,1,0
AUS,Australia,2024,70.6,7,18.1,80.5,9.25,7.95,35.5,1,0
GBR,UK,2024,68.6,8,20.1,83.5,9.25,7.95,38.5,1,0
CAN,Canada,2024,67.2,9,22.1,83.5,9.25,7.95,40.5,1,0
USA,USA,2024,63.1,10,18.1,90.5,8.25,7.95,65.5,1,0
KOR,South Korea,2024,61.8,11,13.1,90.5,7.25,5.95,75.5,1,0
TUR,Turkey,2024,51.3,12,22.15,94.4,5.92,3.9,88.4,1,0
BRA,Brazil,2024,51.0,13,30.15,90.4,6.92,5.9,82.4,1,0
PHL,Philippines,2024,49.8,14,24.15,90.4,5.92,3.9,88.4,1,1
JPN,Japan,2024,48.7,15,10.1,95.5,6.25,4.95,88.5,0,0
COL,Colombia,2024,45.3,16,30.15,88.4,5.92,4.9,82.4,1,4
ZAF,South Africa,2024,43.4,17,38.15,92.4,5.92,4.9,88.4,1,0
MEX,Mexico,2024,42.4,18,32.15,92.4,4.92,3.9,90.4,1,2
KEN,Kenya,2024,40.0,19,33.15,97.4,4.92,2.9,94.4,1,2
IND,India,2024,34.4,20,28.15,98.4,4.92,2.9,95.4,0,0
IDN,Indonesia,2024,33.1,21,26.15,97.4,3.92,2.9,95.4,0,1
EGY,Egypt,2024,31.0,22,28.1,97.2,2.94,1.93,96.2,0,0
IRN,Iran,2024,30.3,23,24.15,99.4,1.92,0.9,99.4,0,0
NGA,Nigeria,2024,27.6,24,30.1,98.2,2.94,1.93,97.2,0,2
BGD,Bangladesh,2024,26.0,25,35.1,99.2,2.64,1.63,98.2,0,0
PAK,Pakistan,2024,25.0,26,32.1,99.2,1.94,0.93,100.2,0,1
IRQ,Iraq,2024,23.3,27,28.1,99.2,1.94,0.93,99.2,0,5
ETH,Ethiopia,2024,23.1,28,36.1,99.2,2.94,1.93,98.2,0,3
NER,Niger,2024,20.1,29,36.05,99.05,1.98,0.98,99.05,0,4
MMR,Myanmar,2024,19.2,30,30.1,99.2,1.94,0.93,99.2,0,8
AFG,Afghanistan,2024,16.6,31,40.05,100.05,0.98,0,100.05,0,3
PSE,Palestine,2024,16.2,32,34.15,98.4,1.92,0.9,98.4,0,9
YEM,Yemen,2024,14.0,33,32.05,100.05,0.98,0,100.05,0,10
SDN,Sudan,2024,13.4,34,36.1,99.2,0.94,0.93,99.2,0,9
SOM,Somalia,2024,8.4,35,46.05,100.05,0.98,0,100.05,0,8
CAF,CAR,2024,6.4,36,46.05,100.05,0.98,0,100.05,0,10
SSD,South Sudan,2024,5.3,37,48.05,100.05,0.98,0,100.05,0,10
COD,DRC,2024,3.9,38,52.05,99.05,0.98,0.98,99.05,0,10
