# SHEtoken WEI India State Historical Trends 2015-2024
# (c) 2026 SHE Foundation
#
state,state_code,ticker,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Meghalaya,ML,SHE-ML,2024,64.0,60.4,81.8,51.8,75.8,69.8,61.9,67.8,57.5,18.1
Himachal Pradesh,HP,SHE-HP,2024,63.4,58.4,85.8,49.8,79.8,63.8,61.9,65.8,61.5,22.1
Telangana,TS,SHE-TS,2024,60.2,62.4,77.8,51.8,75.8,59.8,57.9,59.8,61.5,30.1
Karnataka,KA,SHE-KA,2024,60.0,60.4,77.8,53.8,75.8,59.8,57.9,59.8,61.5,32.0
Manipur,MN,SHE-MN,2024,59.7,56.4,79.8,51.8,71.8,63.8,57.9,61.8,53.5,24.1
Andhra Pradesh,AP,SHE-AP,2024,59.4,60.4,75.8,53.8,73.8,57.8,57.9,59.8,59.5,28.1
Uttarakhand,UK,SHE-UK,2024,58.8,54.4,81.8,45.8,75.8,59.8,57.9,61.8,55.5,26.1
Maharashtra,MH,SHE-MH,2024,58.0,56.4,79.8,53.8,73.8,57.8,55.9,59.8,63.5,42.0
Gujarat,GJ,SHE-GJ,2024,57.1,52.4,77.8,53.8,73.8,55.8,51.9,55.8,59.5,26.1
Delhi,DL,SHE-DL,2024,57.0,54.4,83.8,51.8,77.8,61.8,51.9,57.8,77.5,68.0
Punjab,PB,SHE-PB,2024,56.9,50.4,77.8,47.8,75.8,57.8,55.9,59.8,57.5,30.1
West Bengal,WB,SHE-WB,2024,52.5,52.4,73.8,46.3,69.8,51.8,53.9,57.8,49.5,42.0
Odisha,OD,SHE-OD,2024,47.7,48.4,69.8,39.8,65.8,45.8,49.9,47.8,43.5,36.0
Haryana,HR,SHE-HR,2024,45.7,42.4,71.8,43.8,65.8,43.8,47.9,47.8,51.5,56.0
Chhattisgarh,CG,SHE-CG,2024,44.7,48.4,67.8,37.8,61.8,41.8,47.9,43.8,39.5,40.0
Assam,AS,SHE-AS,2024,43.7,44.4,69.8,37.8,61.8,39.8,45.9,43.8,41.5,42.0
Rajasthan,RJ,SHE-RJ,2024,43.5,46.4,62.8,37.8,63.8,37.8,45.9,43.8,41.5,38.0
Jharkhand,JH,SHE-JH,2024,39.8,42.4,61.8,33.8,57.8,35.8,43.9,37.8,35.5,38.0
Madhya Pradesh,MP,SHE-MP,2024,39.7,44.4,63.8,35.8,59.8,33.8,41.9,39.8,37.5,48.0
Bihar,BR,SHE-BR,2024,33.3,36.4,57.8,27.8,53.8,21.8,37.9,33.8,27.6,36.0
Uttar Pradesh,UP,SHE-UP,2024,27.2,34.4,57.8,27.8,53.8,17.8,31.9,27.8,21.6,68.0
