# SHEtoken WEI Country Trends 2015-2024 — all pillars
# (c) 2026 SHE Foundation
#
iso_code,country,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,tier
DNK,Denmark,2018,89.6,87.6,96.5,85.0,96.0,92.0,89.0,91.0,87.7,9.3,1
NZL,New Zealand,2018,88.3,86.6,97.5,83.0,96.0,91.0,88.0,89.0,85.7,13.3,1
NLD,Netherlands,2018,87.1,82.6,96.5,82.0,97.0,89.0,86.0,89.0,85.7,12.3,1
CAN,Canada,2018,86.7,83.6,97.5,80.0,96.0,90.0,85.0,88.0,85.7,14.3,1
CHE,Switzerland,2018,86.6,81.6,96.5,82.0,97.0,88.0,85.0,89.0,83.7,10.3,1
DEU,Germany,2018,86.4,82.6,95.5,81.0,95.0,89.0,86.0,88.0,84.7,12.3,1
IRL,Ireland,2018,86.0,80.6,97.5,80.0,97.0,87.0,85.0,88.0,83.7,11.3,1
AUS,Australia,2018,85.2,80.6,96.5,79.0,96.0,89.0,84.0,87.0,83.7,16.4,1
BEL,Belgium,2018,84.9,78.6,96.5,80.0,96.0,87.0,84.0,87.0,82.7,13.3,1
AUT,Austria,2018,84.2,77.6,95.5,79.0,96.0,86.0,83.0,86.0,81.7,12.3,1
GBR,United Kingdom,2018,83.6,77.6,96.5,78.0,95.0,86.0,83.0,85.0,82.7,16.4,1
FRA,France,2018,83.1,76.6,95.5,78.0,95.0,85.0,82.0,85.0,81.7,15.3,1
ESP,Spain,2018,82.4,74.6,96.5,76.0,95.0,84.0,82.0,84.0,80.7,14.3,1
USA,United States,2018,82.4,75.6,96.5,73.0,93.0,93.0,80.0,83.0,81.7,20.4,1
PRT,Portugal,2018,81.1,72.6,95.5,74.0,94.0,83.0,81.0,83.0,78.7,13.3,1
JPN,Japan,2018,80.5,66.6,97.5,71.0,98.0,79.0,79.0,83.0,80.7,7.3,1
ISR,Israel,2018,78.9,70.6,96.5,74.0,95.0,77.0,77.0,79.0,77.7,15.3,1
KOR,South Korea,2018,78.1,63.6,97.5,68.0,97.0,77.0,77.0,81.0,77.7,11.3,1
URY,Uruguay,2018,75.8,70.6,95.5,68.0,93.0,77.0,75.0,77.0,73.7,26.4,1
CHN,China,2018,66.3,59.9,91.7,63.2,88.2,60.6,62.2,64.2,62.3,22.6,2
ARG,Argentina,2018,65.6,57.9,91.7,57.2,89.2,68.6,62.2,66.2,64.3,36.6,2
UKR,Ukraine,2018,65.2,55.9,91.7,61.2,88.2,64.6,60.2,64.2,62.3,28.6,2
CHL,Chile,2018,63.6,53.9,90.7,56.2,88.2,64.6,60.2,64.2,62.3,34.6,2
RUS,Russia,2018,62.6,53.9,90.7,59.2,86.2,60.6,56.2,60.2,58.3,26.6,2
KAZ,Kazakhstan,2018,62.0,51.9,90.7,59.2,86.2,58.6,58.2,60.2,56.3,26.6,2
PHL,Philippines,2018,61.5,62.9,89.7,57.2,80.2,58.6,56.2,58.2,56.3,32.6,2
VNM,Vietnam,2018,61.5,55.9,88.7,55.2,86.2,54.6,58.2,58.2,54.3,20.6,2
THA,Thailand,2018,61.0,54.9,86.7,57.2,86.2,56.6,56.2,58.2,56.3,26.6,2
LKA,Sri Lanka,2018,59.4,53.9,90.7,51.2,83.2,56.6,54.2,56.2,52.3,26.6,2
BRA,Brazil,2018,59.3,52.9,88.7,53.2,86.2,62.6,54.2,58.2,56.3,44.6,2
COL,Colombia,2018,57.2,49.9,88.7,49.2,85.2,54.6,54.2,58.2,56.3,42.6,2
MNG,Mongolia,2018,56.9,52.9,89.7,51.2,82.2,52.6,52.2,54.2,52.3,36.6,2
MEX,Mexico,2018,54.7,44.9,86.7,47.2,83.2,56.6,50.2,56.2,54.3,46.6,2
RWA,Rwanda,2018,54.7,61.9,82.7,47.2,70.2,50.6,54.2,52.2,44.3,34.6,2
TUR,Turkey,2018,54.6,45.9,80.7,51.2,84.2,50.6,50.2,54.2,52.3,34.6,2
BOL,Bolivia,2018,53.8,49.9,86.7,47.2,80.2,50.6,50.2,52.2,48.3,40.6,2
TUN,Tunisia,2018,53.6,43.9,83.7,47.2,80.2,48.6,50.2,52.2,50.3,28.6,2
NAM,Namibia,2018,53.2,52.9,86.7,49.2,74.2,50.6,52.2,52.2,50.3,50.6,2
BWA,Botswana,2018,53.2,53.9,85.7,51.2,72.2,50.6,50.2,52.2,48.3,46.6,2
PER,Peru,2018,53.2,47.9,86.7,47.2,80.2,48.6,50.2,52.2,48.3,40.6,2
IDN,Indonesia,2018,51.6,41.9,80.7,47.2,76.2,48.6,48.2,50.2,48.3,30.6,2
ZAF,South Africa,2018,50.7,53.9,83.7,49.2,76.2,52.6,46.2,52.2,50.3,70.6,2
HND,Honduras,2018,49.0,45.9,83.7,45.2,78.2,46.6,46.2,48.2,44.3,54.6,2
MAR,Morocco,2018,48.0,37.9,74.7,41.2,78.2,42.6,46.2,46.2,42.3,26.6,2
KEN,Kenya,2018,46.4,45.9,78.7,43.2,66.2,42.6,44.2,44.2,40.3,40.6,2
GHA,Ghana,2018,46.3,42.9,80.7,41.2,68.2,40.6,44.2,44.2,40.3,36.6,2
IND,India,2018,45.3,44.4,72.7,39.8,66.2,40.6,48.2,41.8,40.3,38.6,2
MMR,Myanmar,2018,39.6,39.5,70.0,41.6,67.5,30.2,38.2,34.6,30.6,42.4,3
KHM,Cambodia,2018,38.8,29.6,72.0,37.6,69.5,32.2,34.2,34.6,30.6,32.4,3
BGD,Bangladesh,2018,38.3,37.0,68.0,35.6,65.5,30.2,36.2,34.6,32.6,38.4,3
LAO,Laos,2018,37.2,29.6,70.0,35.6,67.5,28.2,32.2,32.6,28.6,28.4,3
JOR,Jordan,2018,37.1,21.6,78.0,29.6,77.5,26.2,30.1,30.6,30.6,26.4,3
NPL,Nepal,2018,36.5,33.5,66.0,33.6,63.6,28.2,34.2,32.6,30.6,34.4,3
GTM,Guatemala,2018,35.1,31.6,68.0,35.6,71.5,28.2,30.1,30.6,28.6,50.4,3
EGY,Egypt,2018,33.2,21.6,68.0,31.6,71.5,20.2,28.1,28.6,26.6,30.4,3
ZWE,Zimbabwe,2018,30.2,29.6,70.0,29.6,55.6,22.2,28.1,24.6,22.6,48.4,3
UGA,Uganda,2018,29.3,31.6,64.0,29.6,53.6,22.2,28.1,24.6,22.6,50.4,3
AFG,Afghanistan,2018,28.9,33.3,52.8,30.3,30.6,25.3,26.8,25.3,23.4,21.1,4
TZA,Tanzania,2018,28.6,27.6,62.0,31.6,55.6,20.2,26.1,22.6,20.6,44.4,3
ZMB,Zambia,2018,28.2,27.6,62.0,31.6,53.6,20.2,26.1,22.6,20.6,46.4,3
NGA,Nigeria,2018,25.9,25.6,58.0,29.6,49.6,18.2,22.6,22.6,20.6,46.4,3
PNG,Papua New Guinea,2018,25.8,23.6,58.0,27.6,55.6,20.2,24.1,24.6,22.6,58.4,3
ETH,Ethiopia,2018,25.8,21.6,53.0,27.6,49.6,16.2,28.1,23.6,18.6,36.4,3
IRQ,Iraq,2018,25.6,15.6,56.0,21.6,67.5,16.2,22.1,20.6,16.6,34.4,3
CMR,Cameroon,2018,25.5,25.6,58.0,27.6,49.6,16.2,24.1,20.6,18.6,42.4,3
MOZ,Mozambique,2018,25.4,25.6,56.0,27.6,49.6,18.2,24.1,20.6,18.6,44.4,3
PAK,Pakistan,2018,25.0,21.6,48.0,29.1,59.6,16.2,22.1,22.6,18.6,42.4,3
CIV,Ivory Coast,2018,24.4,23.6,56.0,27.6,47.6,14.2,22.1,20.6,16.6,38.4,3
HTI,Haiti,2018,22.9,21.6,54.0,25.6,43.6,18.2,22.1,20.6,16.6,46.4,3
SDN,Sudan,2018,19.3,10.6,40.0,19.6,45.6,10.2,24.1,23.6,12.6,34.4,3
SYR,Syria,2018,15.5,15.3,43.8,16.3,44.6,11.3,12.8,11.3,10.4,50.1,4
MLI,Mali,2018,13.5,15.3,35.8,16.3,36.6,7.3,10.8,9.3,8.4,38.1,4
COD,DRC,2018,11.5,13.3,37.8,14.3,34.6,9.3,12.8,9.3,10.4,60.1,4
NER,Niger,2018,10.0,13.3,23.8,12.3,28.6,4.3,11.8,7.3,6.4,34.1,4
TCD,Chad,2018,9.8,11.3,27.8,14.3,30.6,5.3,8.8,7.3,6.4,40.1,4
YEM,Yemen,2018,9.4,9.3,27.8,12.3,36.6,7.3,10.8,9.3,6.4,54.1,4
SSD,South Sudan,2018,9.0,13.3,27.8,14.3,28.6,7.3,8.8,7.3,6.4,52.1,4
CAF,Central African Republic,2018,8.9,11.3,29.8,14.3,30.6,7.3,8.8,7.3,6.4,54.1,4
SOM,Somalia,2018,4.7,7.3,19.8,10.3,26.6,3.3,6.9,5.3,4.4,56.1,4
ISL,Iceland,2019,92.9,93.8,98.6,88.1,97.1,95.1,92.6,93.1,91.1,8.3,1
NOR,Norway,2019,91.9,91.8,97.6,86.1,98.1,94.1,91.6,92.1,90.1,8.3,1
FIN,Finland,2019,91.2,90.8,98.6,85.1,97.1,93.1,90.6,91.1,89.1,8.3,1
SWE,Sweden,2019,91.1,89.8,97.6,87.1,97.1,94.1,89.6,92.1,90.1,10.3,1
DNK,Denmark,2019,89.7,87.8,96.6,85.1,96.1,92.1,88.6,91.1,88.1,9.3,1
NZL,New Zealand,2019,88.4,86.8,97.6,83.1,96.1,91.1,87.6,89.1,86.1,13.3,1
NLD,Netherlands,2019,87.2,82.8,96.6,82.1,97.1,89.1,85.6,89.1,86.1,12.3,1
CAN,Canada,2019,86.8,83.8,97.6,80.1,96.1,90.1,84.6,88.1,86.1,14.3,1
CHE,Switzerland,2019,86.7,81.8,96.6,82.1,97.1,88.1,84.6,89.1,84.1,10.3,1
DEU,Germany,2019,86.5,82.8,95.6,81.1,95.1,89.1,85.6,88.1,85.1,12.3,1
IRL,Ireland,2019,86.1,80.8,97.6,80.1,97.1,87.1,84.6,88.1,84.1,11.3,1
AUS,Australia,2019,85.3,80.8,96.6,79.1,96.1,89.1,83.6,87.1,84.1,16.3,1
BEL,Belgium,2019,85.0,78.8,96.6,80.1,96.1,87.1,83.6,87.1,83.1,13.3,1
AUT,Austria,2019,84.2,77.8,95.6,79.1,96.1,86.1,82.6,86.1,82.1,12.3,1
GBR,United Kingdom,2019,83.7,77.8,96.6,78.1,95.1,86.1,82.6,85.1,83.1,16.3,1
FRA,France,2019,83.2,76.8,95.6,78.1,95.1,85.1,81.6,85.1,82.1,15.3,1
ESP,Spain,2019,82.5,74.8,96.6,76.1,95.1,84.1,81.6,84.1,81.1,14.3,1
USA,United States,2019,82.5,75.8,96.6,73.1,93.1,93.1,79.6,83.1,82.1,20.3,1
PRT,Portugal,2019,81.2,72.8,95.6,74.1,94.1,83.1,80.6,83.1,79.1,13.3,1
JPN,Japan,2019,80.6,66.8,97.6,71.1,98.1,79.1,78.6,83.1,81.1,7.3,1
ISR,Israel,2019,79.0,70.8,96.6,74.1,95.1,77.1,76.6,79.1,78.1,15.3,1
KOR,South Korea,2019,78.2,63.8,97.6,68.1,97.1,77.1,76.6,81.1,78.1,11.3,1
URY,Uruguay,2019,75.9,70.8,95.6,68.1,93.1,77.1,74.6,77.1,74.1,26.3,1
CHN,China,2019,66.7,60.2,92.1,63.5,88.6,60.8,62.3,64.5,62.9,22.5,2
ARG,Argentina,2019,66.0,58.2,92.1,57.5,89.6,68.8,62.3,66.5,64.9,36.5,2
UKR,Ukraine,2019,65.5,56.2,92.1,61.5,88.6,64.8,60.3,64.5,62.9,28.5,2
CHL,Chile,2019,63.9,54.2,91.1,56.5,88.6,64.8,60.3,64.5,62.9,34.5,2
RUS,Russia,2019,62.9,54.2,91.1,59.5,86.6,60.8,56.3,60.5,58.9,26.5,2
KAZ,Kazakhstan,2019,62.4,52.2,91.1,59.5,86.6,58.8,58.3,60.5,56.9,26.5,2
PHL,Philippines,2019,61.9,63.2,90.1,57.5,80.6,58.8,56.3,58.5,56.9,32.5,2
VNM,Vietnam,2019,61.8,56.2,89.1,55.5,86.6,54.8,58.3,58.5,54.9,20.5,2
THA,Thailand,2019,61.3,55.2,87.1,57.5,86.6,56.8,56.3,58.5,56.9,26.5,2
LKA,Sri Lanka,2019,59.7,54.2,91.1,51.5,83.6,56.8,54.3,56.5,52.9,26.5,2
BRA,Brazil,2019,59.6,53.2,89.1,53.5,86.6,62.8,54.3,58.5,56.9,44.5,2
COL,Colombia,2019,57.5,50.2,89.1,49.5,85.6,54.8,54.3,58.5,56.9,42.5,2
MNG,Mongolia,2019,57.2,53.2,90.1,51.5,82.6,52.8,52.3,54.5,52.9,36.5,2
MEX,Mexico,2019,55.0,45.2,87.1,47.5,83.6,56.8,50.3,56.5,54.9,46.5,2
RWA,Rwanda,2019,55.0,62.2,83.1,47.5,70.6,50.8,54.3,52.5,44.9,34.5,2
TUR,Turkey,2019,54.9,46.2,81.1,51.5,84.6,50.8,50.3,54.5,52.9,34.5,2
BOL,Bolivia,2019,54.1,50.2,87.1,47.5,80.6,50.8,50.3,52.5,48.9,40.5,2
TUN,Tunisia,2019,53.9,44.2,84.1,47.5,80.6,48.8,50.3,52.5,50.9,28.5,2
NAM,Namibia,2019,53.6,53.2,87.1,49.5,74.6,50.8,52.3,52.5,50.9,50.5,2
BWA,Botswana,2019,53.5,54.2,86.1,51.5,72.6,50.8,50.3,52.5,48.9,46.5,2
PER,Peru,2019,53.5,48.2,87.1,47.5,80.6,48.8,50.3,52.5,48.9,40.5,2
IDN,Indonesia,2019,51.9,42.2,81.1,47.5,76.6,48.8,48.3,50.5,48.9,30.5,2
ZAF,South Africa,2019,51.0,54.2,84.1,49.5,76.6,52.8,46.3,52.5,50.9,70.5,2
HND,Honduras,2019,49.3,46.2,84.1,45.5,78.6,46.8,46.3,48.5,44.9,54.5,2
MAR,Morocco,2019,48.3,38.2,75.1,41.5,78.6,42.8,46.3,46.5,42.9,26.5,2
KEN,Kenya,2019,46.7,46.2,79.1,43.5,66.6,42.8,44.3,44.5,40.9,40.5,2
GHA,Ghana,2019,46.6,43.2,81.1,41.5,68.6,40.8,44.3,44.5,40.9,36.5,2
IND,India,2019,45.6,44.7,73.1,40.0,66.6,40.8,48.3,42.0,40.9,38.5,2
MMR,Myanmar,2019,39.9,39.9,70.5,41.8,68.0,30.5,38.3,34.8,31.2,42.3,3
KHM,Cambodia,2019,39.2,29.9,72.5,37.8,70.0,32.5,34.3,34.8,31.2,32.3,3
BGD,Bangladesh,2019,38.7,37.4,68.5,35.8,66.0,30.5,36.3,34.8,33.2,38.3,3
LAO,Laos,2019,37.6,29.9,70.5,35.8,68.0,28.5,32.3,32.8,29.2,28.3,3
JOR,Jordan,2019,37.4,21.9,78.5,29.8,78.0,26.5,30.3,30.8,31.2,26.3,3
NPL,Nepal,2019,36.8,33.9,66.5,33.8,64.0,28.5,34.3,32.8,31.2,34.3,3
GTM,Guatemala,2019,35.4,31.9,68.5,35.8,72.0,28.5,30.3,30.8,29.2,50.3,3
EGY,Egypt,2019,33.6,21.9,68.5,31.8,72.0,20.5,28.3,28.8,27.2,30.3,3
ZWE,Zimbabwe,2019,30.5,29.9,70.5,29.8,56.0,22.5,28.3,24.8,23.2,48.3,3
UGA,Uganda,2019,29.7,31.9,64.5,29.8,54.0,22.5,28.3,24.8,23.2,50.3,3
AFG,Afghanistan,2019,29.1,33.4,53.0,30.4,30.9,25.4,26.9,25.4,23.7,21.1,4
TZA,Tanzania,2019,28.9,27.9,62.5,31.8,56.0,20.5,26.3,22.8,21.2,44.3,3
ZMB,Zambia,2019,28.5,27.9,62.5,31.8,54.0,20.5,26.3,22.8,21.2,46.3,3
ETH,Ethiopia,2019,26.7,25.9,53.5,27.8,50.0,16.5,28.3,23.8,19.2,36.3,3
NGA,Nigeria,2019,26.2,25.9,58.5,29.8,50.0,18.5,22.8,22.8,21.2,46.3,3
PNG,Papua New Guinea,2019,26.1,23.9,58.5,27.8,56.0,20.5,24.3,24.8,23.2,58.3,3
CMR,Cameroon,2019,25.9,25.9,58.5,27.8,50.0,16.5,24.3,20.8,19.2,42.3,3
IRQ,Iraq,2019,25.9,15.9,56.5,21.8,68.0,16.5,22.3,20.8,17.2,34.3,3
MOZ,Mozambique,2019,25.7,25.9,56.5,27.8,50.0,18.5,24.3,20.8,19.2,44.3,3
PAK,Pakistan,2019,25.4,21.9,48.5,29.3,60.0,16.5,22.3,22.8,19.2,42.3,3
CIV,Ivory Coast,2019,24.7,23.9,56.5,27.8,48.0,14.5,22.3,20.8,17.2,38.3,3
HTI,Haiti,2019,23.3,21.9,54.5,25.8,44.0,18.5,22.3,20.8,17.2,46.3,3
SDN,Sudan,2019,21.1,16.9,40.5,19.8,46.0,10.5,28.3,23.8,13.2,34.3,3
SYR,Syria,2019,15.7,15.4,44.0,16.4,44.9,11.4,12.9,11.4,10.7,50.1,4
MLI,Mali,2019,13.7,15.4,36.0,16.4,36.9,7.4,10.9,9.4,8.7,38.1,4
COD,DRC,2019,11.7,13.4,38.0,14.4,34.9,9.4,12.9,9.4,10.7,60.1,4
NER,Niger,2019,10.2,13.4,24.0,12.4,28.9,4.4,11.9,7.4,6.7,34.1,4
TCD,Chad,2019,10.0,11.4,28.0,14.4,30.9,5.4,8.9,7.4,6.7,40.1,4
YEM,Yemen,2019,9.5,9.4,28.0,12.4,36.9,7.4,10.9,9.4,6.7,54.1,4
SSD,South Sudan,2019,9.1,13.4,28.0,14.4,28.9,7.4,8.9,7.4,6.7,52.1,4
CAF,Central African Republic,2019,9.1,11.4,30.0,14.4,30.9,7.4,8.9,7.4,6.7,54.1,4
SOM,Somalia,2019,4.9,7.4,20.0,10.4,26.9,3.4,6.9,5.4,4.7,56.1,4
ISL,Iceland,2020,90.8,94.0,95.7,83.3,94.2,95.2,88.7,89.2,91.5,8.2,1
NOR,Norway,2020,89.8,92.0,94.7,81.3,95.2,94.2,87.7,88.2,90.5,8.2,1
FIN,Finland,2020,89.0,91.0,95.7,80.3,94.2,93.2,86.7,87.2,89.5,8.2,1
SWE,Sweden,2020,89.0,90.0,94.7,82.3,94.2,94.2,85.7,88.2,90.5,10.2,1
DNK,Denmark,2020,87.6,88.0,93.7,80.3,93.2,92.2,84.7,87.2,88.5,9.2,1
NZL,New Zealand,2020,86.2,87.0,94.7,78.3,93.2,91.2,83.7,85.2,86.5,13.2,1
NLD,Netherlands,2020,85.0,83.0,93.7,77.3,94.2,89.2,81.7,85.2,86.5,12.2,1
CAN,Canada,2020,84.7,84.0,94.7,75.3,93.2,90.2,80.7,84.2,86.5,14.2,1
CHE,Switzerland,2020,84.6,82.0,93.7,77.3,94.2,88.2,80.7,85.2,84.5,10.2,1
DEU,Germany,2020,84.4,83.0,92.7,76.3,92.2,89.2,81.7,84.2,85.5,12.2,1
IRL,Ireland,2020,84.0,81.0,94.7,75.3,94.2,87.2,80.7,84.2,84.5,11.2,1
AUS,Australia,2020,83.2,81.0,93.7,74.3,93.2,89.2,79.7,83.2,84.5,16.2,1
BEL,Belgium,2020,82.9,79.0,93.7,75.3,93.2,87.2,79.7,83.2,83.5,13.2,1
AUT,Austria,2020,82.1,78.0,92.7,74.3,93.2,86.2,78.7,82.2,82.5,12.2,1
GBR,United Kingdom,2020,81.6,78.0,93.7,73.3,92.2,86.2,78.7,81.2,83.5,16.2,1
FRA,France,2020,81.0,77.0,92.7,73.3,92.2,85.2,77.7,81.2,82.5,15.2,1
ESP,Spain,2020,80.4,75.0,93.7,71.3,92.2,84.2,77.7,80.2,81.5,14.2,1
USA,United States,2020,80.4,76.0,93.7,68.3,90.2,93.2,75.7,79.2,82.5,20.2,1
PRT,Portugal,2020,79.1,73.0,92.7,69.3,91.2,83.2,76.7,79.2,79.5,13.2,1
JPN,Japan,2020,78.5,67.0,94.7,66.3,95.2,79.2,74.7,79.2,81.5,7.2,1
ISR,Israel,2020,76.9,71.0,93.7,69.3,92.2,77.2,72.7,75.2,78.5,15.2,1
KOR,South Korea,2020,76.1,64.0,94.7,63.3,94.2,77.2,72.7,77.2,78.5,11.2,1
URY,Uruguay,2020,73.8,71.0,92.7,63.3,90.2,77.2,70.7,73.2,74.5,26.2,1
CHN,China,2020,64.7,60.5,89.5,58.7,86.0,61.0,58.5,60.8,63.5,22.4,2
ARG,Argentina,2020,64.0,58.5,89.5,52.7,87.0,69.0,58.5,62.8,65.5,36.4,2
UKR,Ukraine,2020,63.6,56.5,89.5,56.7,86.0,65.0,56.5,60.8,63.5,28.4,2
CHL,Chile,2020,62.0,54.5,88.5,51.7,86.0,65.0,56.5,60.8,63.5,34.4,2
RUS,Russia,2020,60.9,54.5,88.5,54.7,84.0,61.0,52.5,56.8,59.5,26.4,2
KAZ,Kazakhstan,2020,60.4,52.5,88.5,54.7,84.0,59.0,54.5,56.8,57.5,26.4,2
PHL,Philippines,2020,59.9,63.5,87.5,52.7,78.0,59.0,52.5,54.8,57.5,32.4,2
VNM,Vietnam,2020,59.9,56.5,86.5,50.7,84.0,55.0,54.5,54.8,55.5,20.4,2
THA,Thailand,2020,59.4,55.5,84.5,52.7,84.0,57.0,52.5,54.8,57.5,26.4,2
LKA,Sri Lanka,2020,57.7,54.5,88.5,46.7,81.0,57.0,50.5,52.8,53.5,26.4,2
BRA,Brazil,2020,57.6,53.5,86.5,48.7,84.0,63.0,50.5,54.8,57.5,44.4,2
COL,Colombia,2020,55.6,50.5,86.5,44.7,83.0,55.0,50.5,54.8,57.5,42.4,2
MNG,Mongolia,2020,55.3,53.5,87.5,46.7,80.0,53.0,48.5,50.8,53.5,36.4,2
MEX,Mexico,2020,53.1,45.5,84.5,42.7,81.0,57.0,46.5,52.8,55.5,46.4,2
RWA,Rwanda,2020,53.0,62.5,80.5,42.7,68.0,51.0,50.5,48.8,45.5,34.4,2
TUR,Turkey,2020,53.0,46.5,78.5,46.7,82.0,51.0,46.5,50.8,53.5,34.4,2
BOL,Bolivia,2020,52.1,50.5,84.5,42.7,78.0,51.0,46.5,48.8,49.5,40.4,2
TUN,Tunisia,2020,52.0,44.5,81.5,42.7,78.0,49.0,46.5,48.8,51.5,28.4,2
NAM,Namibia,2020,51.6,53.5,84.5,44.7,72.0,51.0,48.5,48.8,51.5,50.4,2
BWA,Botswana,2020,51.5,54.5,83.5,46.7,70.0,51.0,46.5,48.8,49.5,46.4,2
PER,Peru,2020,51.5,48.5,84.5,42.7,78.0,49.0,46.5,48.8,49.5,40.4,2
IDN,Indonesia,2020,50.0,42.5,78.5,42.7,74.0,49.0,44.5,46.8,49.5,30.4,2
ZAF,South Africa,2020,49.1,54.5,81.5,44.7,74.0,53.0,42.5,48.8,51.5,70.4,2
HND,Honduras,2020,47.3,46.5,81.5,40.7,76.0,47.0,42.5,44.8,45.5,54.4,2
MAR,Morocco,2020,46.4,38.5,72.5,36.7,76.0,43.0,42.5,42.8,43.5,26.4,2
KEN,Kenya,2020,44.8,46.5,76.5,38.7,64.0,43.0,40.5,40.8,41.5,40.4,2
GHA,Ghana,2020,44.7,43.5,78.5,36.7,66.0,41.0,40.5,40.8,41.5,36.4,2
IND,India,2020,43.6,45.0,70.5,35.3,64.0,41.0,44.5,38.2,41.5,38.4,2
MMR,Myanmar,2020,38.0,40.2,68.0,37.0,65.5,30.8,34.5,31.0,31.8,42.2,3
KHM,Cambodia,2020,37.2,30.2,70.0,33.0,67.5,32.8,30.5,31.0,31.8,32.2,3
BGD,Bangladesh,2020,36.8,37.8,66.0,31.0,63.5,30.8,32.5,31.0,33.8,38.2,3
LAO,Laos,2020,35.6,30.2,68.0,31.0,65.5,28.8,28.4,29.0,29.8,28.2,3
JOR,Jordan,2020,35.5,22.2,76.0,25.0,75.5,26.8,26.4,27.0,31.8,26.2,3
NPL,Nepal,2020,34.9,34.2,64.0,29.0,61.5,28.8,30.5,29.0,31.8,34.2,3
GTM,Guatemala,2020,33.5,32.2,66.0,31.0,69.5,28.8,26.4,27.0,29.8,50.2,3
EGY,Egypt,2020,31.6,22.2,66.0,27.0,69.5,20.8,24.4,25.0,27.8,30.2,3
ZWE,Zimbabwe,2020,28.6,30.2,68.0,25.0,53.5,22.8,24.4,21.0,23.8,48.2,3
UGA,Uganda,2020,27.7,32.2,62.0,25.0,51.5,22.8,24.4,21.0,23.8,50.2,3
TZA,Tanzania,2020,27.0,28.2,60.0,27.0,53.5,20.8,22.4,19.0,21.8,44.2,3
AFG,Afghanistan,2020,27.0,33.5,50.3,25.5,28.2,25.5,22.9,21.5,24.0,21.1,4
ZMB,Zambia,2020,26.6,28.2,60.0,27.0,51.5,20.8,22.4,19.0,21.8,46.2,3
ETH,Ethiopia,2020,24.5,24.2,51.0,23.0,47.5,16.8,24.4,20.0,19.8,36.2,3
NGA,Nigeria,2020,24.3,26.2,56.0,25.0,47.5,18.8,18.9,19.0,21.8,46.2,3
PNG,Papua New Guinea,2020,24.2,24.2,56.0,23.0,53.5,20.8,20.4,21.0,23.8,58.2,3
IRQ,Iraq,2020,24.0,16.2,54.0,17.0,65.5,16.8,18.4,17.0,17.8,34.2,3
CMR,Cameroon,2020,23.9,26.2,56.0,23.0,47.5,16.8,20.4,17.0,19.8,42.2,3
MOZ,Mozambique,2020,23.8,26.2,54.0,23.0,47.5,18.8,20.4,17.0,19.8,44.2,3
PAK,Pakistan,2020,23.4,22.2,46.0,24.5,57.5,16.8,18.4,19.0,19.8,42.2,3
CIV,Ivory Coast,2020,22.8,24.2,54.0,23.0,45.5,14.8,18.4,17.0,17.8,38.2,3
HTI,Haiti,2020,21.3,22.2,52.0,21.0,41.5,18.8,18.4,17.0,17.8,46.2,3
SDN,Sudan,2020,18.4,14.2,38.0,15.0,43.5,10.8,22.4,20.0,13.8,34.2,3
SYR,Syria,2020,13.5,15.5,41.3,11.5,42.2,11.5,8.9,7.5,11.0,50.1,4
MLI,Mali,2020,11.5,15.5,33.3,11.5,34.2,7.5,6.9,5.5,9.0,38.1,4
COD,DRC,2020,9.6,13.5,35.3,9.5,32.2,9.5,8.9,5.5,11.0,60.1,4
NER,Niger,2020,8.0,13.5,21.3,7.5,26.2,4.5,7.9,3.5,7.0,34.1,4
TCD,Chad,2020,7.8,11.5,25.3,9.5,28.2,5.5,5.0,3.5,7.0,40.1,4
YEM,Yemen,2020,7.4,9.5,25.3,7.5,34.2,7.5,6.9,5.5,7.0,54.1,4
SSD,South Sudan,2020,7.0,13.5,25.3,9.5,26.2,7.5,5.0,3.5,7.0,52.1,4
CAF,Central African Republic,2020,7.0,11.5,27.3,9.5,28.2,7.5,5.0,3.5,7.0,54.1,4
SOM,Somalia,2020,2.7,7.5,17.3,5.5,24.2,3.5,3.0,1.5,5.0,56.1,4
ISL,Iceland,2021,92.9,94.2,97.4,88.9,97.4,95.4,92.4,91.4,91.9,8.2,1
NOR,Norway,2021,91.9,92.2,96.4,86.9,98.4,94.4,91.4,90.4,90.9,8.2,1
FIN,Finland,2021,91.1,91.2,97.4,85.9,97.4,93.4,90.4,89.4,89.9,8.2,1
SWE,Sweden,2021,91.1,90.2,96.4,87.9,97.4,94.4,89.4,90.4,90.9,10.2,1
DNK,Denmark,2021,89.7,88.2,95.4,85.9,96.4,92.4,88.4,89.4,88.9,9.2,1
NZL,New Zealand,2021,88.3,87.2,96.4,83.9,96.4,91.4,87.4,87.4,86.9,13.2,1
NLD,Netherlands,2021,87.1,83.2,95.4,82.9,97.4,89.4,85.4,87.4,86.9,12.2,1
CAN,Canada,2021,86.8,84.2,96.4,80.9,96.4,90.4,84.4,86.4,86.9,14.2,1
CHE,Switzerland,2021,86.7,82.2,95.4,82.9,97.4,88.4,84.4,87.4,84.9,10.2,1
DEU,Germany,2021,86.5,83.2,94.4,81.9,95.4,89.4,85.4,86.4,85.9,12.2,1
IRL,Ireland,2021,86.1,81.2,96.4,80.9,97.4,87.4,84.4,86.4,84.9,11.2,1
