# SHEtoken WEI City Historical Trends 2015-2024
# Top 20 cities by population and data availability
# Key events: Delhi 2012/13 rape law reform, COVID 2020,
#   Jackson MS Dobbs 2022 (-18 bodily autonomy),
#   Kolkata Lakshmi Bhandar 2021, Mexico City feminist emergency 2019
# (c) 2026 SHE Foundation
#
city,slug,country_iso,ticker,year,wei_score,rank,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2024,76.5,6,77.8,91.8,69.8,79.8,85.9,71.9,67.8,87.0,26.1
Kochi,kochi,IND,SHE-IND-KOCHI,2024,73.6,7,71.8,91.8,59.8,85.8,75.9,71.9,73.8,73.0,18.1
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2024,65.5,8,67.8,87.8,61.8,77.8,69.9,57.9,59.9,75.0,40.0
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2024,64.0,9,61.9,87.8,63.8,77.8,61.9,55.9,59.9,79.0,38.0
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2024,62.1,10,61.9,87.8,59.3,77.8,59.9,53.9,59.9,75.0,42.0
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2024,61.8,11,59.9,85.8,61.8,77.8,65.9,53.9,57.9,69.0,44.0
Lagos,lagos,NGA,SHE-NGA-LAGOS,2024,56.0,12,55.9,75.8,57.8,65.8,63.9,49.9,51.9,65.0,46.0
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2024,55.5,13,55.9,81.8,47.8,71.8,51.9,51.9,53.9,63.0,38.0
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2024,54.8,14,55.9,83.8,53.8,73.8,59.9,43.9,51.9,65.0,58.0
Delhi,delhi,IND,SHE-IND-DELHI,2024,53.1,15,57.9,83.8,51.8,73.8,51.9,42.9,51.9,75.0,72.0
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2024,52.0,16,53.9,79.8,51.8,61.9,49.9,47.9,47.9,61.0,44.0
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2024,50.8,17,59.9,83.8,55.8,69.8,53.9,37.9,49.9,61.0,78.0
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2024,40.1,18,47.9,77.8,39.8,55.9,17.9,37.9,37.9,51.0,48.0
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2024,38.4,19,37.9,69.8,37.8,65.8,29.9,33.9,29.9,37.0,40.0
Karachi,karachi,PAK,SHE-PAK-KARACH,2024,26.0,20,27.9,53.8,27.8,59.9,15.9,19.9,17.9,23.1,44.0
